claim_id,doc,section,claim,numbers,evidence,status,superseded_by,also_in
E66,FINDINGS.md,2. Energy source tags,"Per tag, the prototype's error from its one-iteration solve is 0.1% for the region tags and 1-6% for the source tags. Against a reference that shares each flux by its donor, the tags differ far more, but that difference is the mixing convention, not an error.","per-tag L1 vs reference 0.08-1.26; vs converged at 1h 0.001-0.12; proposed threshold L1<=1%(region)/10%(source), Linf<=25%; today 0.14%/5.6%/12%","jobs 13504926, 13504927; output/g1_inc_newton10_d4/, inc_d4_enthalpy_increment/",live,,G1 criterion 4 met (D4 only)
E67,FINDINGS.md,2. Energy source tags,"Under a deep atmosphere the correction put 0.4% of each cell's move in the wrong place, until its flux was scaled by the face areas.",before fix: differ by up to 4.7e-6 J/m3 (0.41% of move); after fix: 2e-11 (rounding); top face 1/0.9906 times bottom face on smallest test sphere,"jobs 13504953 (fixed), 13504956 (c0bc637f); analysis/increment/sphere_increment_deep.jl",live,,"fix is 04d63916, on #94"
E68,FINDINGS.md,2. Energy source tags,V3: the tags' mixing against the air's own on D4; the updraft moves boundary-layer air to the inversion that the tags leave behind.,"L1 of psi-q_gas_A: 7.8%@1h, 6.6%@3h, 3.9%@6h, 3.2%@24h; after a day tags hold 7.0% air from above inversion vs air's 10.1%",job 13505756 at 04d63916; output/v3_d4_passive_tracer/,erratum,E73,"Erratum 2026-09-19: premise wrong (region tags have no sources, so attribution mixes with the gap); with updraft copies (E73) the gap in the boundary layer is 0.3 pts at 6h, 1.3 pts at 24h"
E69,FINDINGS.md,2. Energy source tags,"With one Newton iteration, V2's model top collapses to the 150K floor within 6h; two iterations prevent it.",top level(27km) mean: V2 1-iter 216.2/205.1/190.1/156.0(18% at floor) @1/2/3/6h; 2 iterations 219.3/218.9; 10 iterations 219.3/218.9/218.7/218.5,"jobs 13504999(V2), 13505000(twin), 13505762-13505764; output/g2_v2_*",erratum,E70,Erratum 2026-09-19: the third point (sphere residual not the solver's) explanation was wrong; it is Float32 rounding (E70)
E70,FINDINGS.md,2. Energy source tags,"On the sphere, V2's residual is Float32 rounding. The explicit processes and the sponges add nothing measurable.","gross residual of scale @0/1/2h: F32 2iter 1.0e-8/2.36e-6/3.85e-6; no sponges 1.0e-8/2.34e-6/3.87e-6; F64 2.6e-17/3.6e-15/5.7e-15; V2 10 days 2.45e-5@1d, 9.4e-5@5d, 1.58e-4@10d","jobs 13509165, 13509166 at 04d63916; output/g2_v2_f64_2h, g2_v2_nosponge_2h",live,,
E71,FINDINGS.md,2. Energy source tags,Doubling the offset c leaves the model bit for bit and nearly doubles the prototype's remainder on D4; the source tags change by 4-6% in a day.,"remainder 509 J/m2 gross at 24h vs 267 (c=220,990 vs 110,495), ~90% is c*B; per-tag changes: rad+4.4%, sfc+6.3%, sub+4.5%, new_strat+4.2%, new_tropo+6.0%, strat+177%, tropo+152%",job 13509167 at c0bc637f; output/g1_inc_d4_2c,live,,
E72,FINDINGS.md,2. Energy source tags,"Over V2's nine days, the updraft gap would lift the tropical sfc tag's centroid by about as much as the tag itself rises.","days1-4/5-9: updraft top 1.8-2.6km/2.8-3.4km; sfc centroid rise from gap 86-185,158-507 / 137-261,166-285 m/day; actual change 142-699 / 265-372 m/day",analysis/increment/updraft_gap_estimate.jl on V2's daily checkpoints; output/g2_v2_sphere/updraft_gap_estimate_days1-9.txt,live,,"estimate, reviewed, not measured directly; closed on D4 by E73"
E73,FINDINGS.md,2. Energy source tags,"The updraft gap is closed on D4. The default exchange stays within 1% of the audit's updraft copies after a day, and within 3% after six hours.","L1 vs copies for sfc(region): no mixing(V3,E68) 61%(8.6%)/71%(4.6%)/33%(2.4%)/14%(2.3%) @1/6/12/24h; default exchange 16%(0.14%)/2.5%(0.42%)/1.6%(0.09%)/0.66%(0.07%); closure default 267.07 vs copies 365 J/m2","jobs 13528772(default, e010f780), 13523326(copies, 3ec098f1); rerun at head, jobs 13536456, 13538433; output/v3_upd_default/, v3_upd_copies/",live,,resolves E68's erratum and E72's estimate; supersedes v3_upd_default_prefix_e010f780_superseded
E74,FINDINGS.md,2. Energy source tags,"G2: the sphere closes over ten days. With two Newton iterations the model top holds, and the tags' gross residual reaches 2.0e-4 of the scale, still slowing.","gross residual of scale @1/3/5/7/10d: 2.77e-5/7.95e-5/1.24e-4/1.57e-4/2.01e-4; top level 218-220K, global min 210.7K; flush rate 0.0105-0.0165/day (60-95 days); criterion 4 solver part: every tag within 3.1e-4 L1 at 1h",job 13505896 at 04d63916; output/g2_v2_sphere_n2/,live,,predates the updraft mixing of E73; owner asked for a second run with mixing on (E75)
E75,FINDINGS.md,2. Energy source tags,"G2 complete: with the updraft's mixing the sphere closes as before, and the source tags move by 10 to 19% over ten days.",closure 2.003e-4 vs 2.009e-4 at 10d (unchanged); L1 vs no-mixing: sfc 0.27%/4.9%/10.0%/12.1% @1h/24h/5d/10d; new_extratropics .../19.1%; region tags .../1.2-1.9%,"job 13548198 at 846ef55d, 16.5h wall; first attempt 13538434 OOM, kept as g2_v2_sphere_mix_oom_13538434; output/g2_v2_sphere_mix/",live,,G2 is met
R1,FINDINGS.md,3. The energy reference,"The convention is enthalpy zero, not internal-energy zero.",internal_energy_dry(273.16) = -78396.92 = -R_d*T_0 at R_d=287.0,Read from Thermodynamics on Levante,live,,
R2,FINDINGS.md,3. The energy reference,"The 7.8e4 J/kg gap C0 could not account for is that term: a convention, not an initialisation error.","TD.total_energy on DYCOMS surface state returns -44,009 vs field's -43,125 (2% the approximated state); C0's 43.276% stands",,live,,
R3,FINDINGS.md,3. The energy reference,ClimaAtmos already carries the convention in its own analytic Jacobian.,"manual_sparse_jacobian.jl:835,1805 write T_0*cp_d, not T_0*cv_d",,live,,
R4,FINDINGS.md,3. The energy reference,"The derivative that sets any reference shift is -cp_d, so lowering T_0 is more effective than the textbook reading by gamma=cp_d/cv_d=1.4.","sphere needs delta T_0=100.0K, column 45.2K",,live,,"earlier 'factor of 2.5, wrong direction' claim was falsified (section 6)"
R5,FINDINGS.md,3. The energy reference,T_0 is not a free datum: moving it changes physics (latent heat of vaporisation) unless compensated.,"LH_v(T)=LH_v0+(cp_v-cp_l)(T-T_0), cp_v-cp_l=-2322; T_0->173.2K with LH_v0 fixed drops LH_v at 288.3K by 9.4%; confirmed latent_heat_vapor(288.3)=2.46564492e6 vs predicted 2,465,644.92",confirmed against the package,live,,
R6,FINDINGS.md,3. The energy reference,"Everything physical depends on T_0 only through LH_0 - Δcp*T_0, so the shift has an exact invariance.","map: T_0->T_0+δ, LH_v0->LH_v0+(cp_v-cp_l)δ, LH_s0->LH_s0+(cp_v-cp_i)δ; e_int moves by -cp_d*δ",,live,,
R7,FINDINGS.md,3. The energy reference,C1 therefore needs no code change: three TOML entries plus the owner's approval.,,create_parameters.jl:75,live,,
R8,FINDINGS.md,3. The energy reference,"C1's acceptance test is exact, and it passes.","LH_v(288.3)=2.46564492e6, LH_f(273.16)=333600.0, p_sat(288.3)=1721.1532852305072 unchanged; 38 checks 150K-330K; worst relative change 9.2e-16","analysis/c1_acceptance.jl, toml/tag_closure_c1_reference.toml; run on terrabyte 2026-09-10",live,,
R9,FINDINGS.md,3. The energy reference,"The shift is not a constant: every water phase moves by cp_l*|δ|, coefficient c(q)=(1-q_tot)*cp_d + q_tot*cp_l runs 1004.5 to 1068.0 at q_tot=0.02 (6.3% spread).","at t=0 parent's minimum -100,416 J/kg extratropics vs -23,686 tropics (most negative cells are cold and dry)",analysis/c1_acceptance.jl,erratum,,"section6: original coefficient c(q)=q_d*cp_d+q_v*cp_v+q_l*cp_l+q_i*cp_i, and 'largest c(q) in warm moist low levels', both falsified; current text is the corrected version"
R10,FINDINGS.md,3. The energy reference,Shifting only the share's denominator should be dropped rather than costed (diverges as e approaches -c).,,,live,,"rules out that shape; rebasing the tags onto the shifted total as well repairs it (section 8, item 1)"
R11,FINDINGS.md,3. The energy reference,"C1's remaining costs are firm rather than conditional: the shift must clear the tropospheric minimum, the donor rule becomes less discriminating (1/(e+c)), and the closure check's normalisation grows 2.85x.","2.85x measured on C1 (E15); earlier recorded as ~2.2x, falsified (section 6)",,live,,practical size of the suppression measured further by E19
T1,FINDINGS.md,4. Cost,Compilation dominates these jobs.,a1_dt10: solve! walltime=3.337s inside a 295s job; sypd 2.956; wall_time_per_timestep 9ms269us,,live,,
T2,FINDINGS.md,4. Cost,The A1 configuration costs 6.1x its untagged control.,solve! walltime 3.337s/0.548s=6.09; sypd 2.956/17.992; per timestep 9.269ms/1.522ms; second .err (job 27360071) gives 5.97,"A1, jobs 27360483, 27360071",live,,
T3,FINDINGS.md,4. Cost,"That is the cost of the configuration (water_closure_check every 10s vs dt=10s, diagnostics every 60s), not of the tags.",,,live,,
T4,FINDINGS.md,4. Cost,"The clean measurement now exists: 1.32x (C0 pair, hourly check and diagnostics, 8640 steps).",solve! walltime 11.225s/8.521s=1.317; sypd 21.088/27.779; per timestep 1.299ms/986.3us,"C0, jobs 27361326, 27368587",live,,
T5,FINDINGS.md,4. Cost,Short runs flatter nothing but they do skew per-step figures (not a controlled pair).,"1.522ms vs 986us per timestep, 360 vs 8640 steps",,live,,
T6,FINDINGS.md,4. Cost,The reference shift (C1) costs nothing.,solve! walltime 349.0s vs unshifted 345.6s (1.0% apart); sypd 0.678 vs 0.685,"C1, jobs 13383684, 13383685",live,,
T7,FINDINGS.md,4. Cost,The tag offset costs no more than the scatter.,"C4 solve! walltime 353.3s (C1's offset), 355.8s (2x offset) vs 345.6s unshifted, 349.0s C1","C4, jobs 13384913, 13384914",live,,
T8,FINDINGS.md,4. Cost,The repair costs about 1%.,C6 solve! walltime column 21.47s(repair on)/21.01s(off); sphere 435.9s/431.5s; first-order tag upwinding 423.7s,"C6, jobs 13385450-13385454",live,,
T9,FINDINGS.md,4. Cost,On the sphere the tags cost 1.46x.,solve! walltime 445.75s/305.44s=1.459; sypd 0.531/0.775; per timestep 2.063s/1.414s; whole job 18.2min/11.0min=1.66,"P1, jobs 13440989, 13440990 at c2842ba6; output/p1_sphere_tags/, p1_sphere_notags/",live,,
T10,FINDINGS.md,4. Cost,"The tag and record code allocates nothing; the explicit tendency allocates without tags, and each tag adds to it.","remaining_tendency! 58,160 vs 22,576 bytes (tags+records vs none); constrain_state! 32/32; #76 split solver allocates nothing; unsplit ClimaCore solve 48 bytes/call","login node at 3b4b6056, 7d190db1; analysis/t3_allocations.jl",live,,
M1,FINDINGS.md,5. Method,Volume fractions and mass fractions can differ by six orders of magnitude.,"A5: nonpositive_fraction 0.351 vs nonpositive_mass_fraction 2.77e-7 (1.3 million x); energy: c0_sphere_audit 0.7839 vs volume fraction 0.43276 (1.811x, E9b)","tagged_tracers.jl:456-459,421",live,,
M2,FINDINGS.md,5. Method,"untagged + overclaimed = gross_residual exactly, confirmed on a model run and not only on randomised states.",,,live,,
M3,FINDINGS.md,5. Method,The operator residual and the audit do not overlap.,,,live,,
M4,FINDINGS.md,5. Method,"Practical traps, all hit at least once: .buildkite instantiation on the login node, module purge strips git, .gitignore drops output/*.png/*.log, sypd logged to stderr.",,,live,,
M5,FINDINGS.md,5. Method,The most negative tag hides the source tags (a region tag's own minimum can mask a source tag's negativity in a summary).,"c0_sphere: region tag extratropics -100,416 J/kg at t=0 (parent's own minimum); source tag sfc -209.19 at 24h did not appear in the summary","C0, recomputed from source_tag_extrema.csv",live,,phase_c.jl now reports each separately
M6,FINDINGS.md,5. Method,"Levante and terrabyte agree to rounding, not bit for bit.","terrabyte re-run of c0_sphere_audit differs from Levante from t=0 on, by at most 1.5e-14 in gross_residual over the day; nonpositive_mass_fraction at 24h agrees to every digit","c0_sphere_audit, Levante and terrabyte, twin test",live,,
LEARNINGS:A2:1,LEARNINGS.md,A2. The control ladder,Open question: both linear ladders are sub-first-order and 'none' stops converging around dt=2.5s.,"none: 2.054e-7(dt10)->1.049e-7(dt5, near-ideal 1.027e-7)->1.080e-7(dt2.5, 2.1x above ideal); floor ~1e-7","A2, jobs 27360825-27360830",live,,"named an open question, not resolved by a later finding; candidates listed but untested"
LEARNINGS:A3:1,LEARNINGS.md,A3. 1-moment microphysics,"A3 is uninterpretable as first run: it changes microphysics_model AND vert_diff at once, so the lower residual cannot be attributed to either.","A3 operator residual 9.844e-8 vs A1's 2.844e-6 (order of magnitude lower, counterintuitively)",A3,superseded,W5,"resolved by the matched companion a3_0m_vert_diff, which becomes W5"
LEARNINGS:A4:1,LEARNINGS.md,A4. Float32,"The Float32 reduction's own noise floor at t=0 is 2.34e-8 gross_relative on this column, far below the memo's 100*eps~1.2e-5 estimate (500x pessimistic).",gross_relative at t=0: 2.338e-8 (Float32) vs 2.700e-17 (Float64),A4,live,,"limit: settles nothing about a sphere, where the reduction runs over many more cells"
LEARNINGS:A5:1,LEARNINGS.md,A5 (pre-fix),"Leading hypothesis at the time (later refined by W7): the rescale ratio water_tag_rescale_ratio is deliberately not clamped above, and amplifies once a tag exceeds ρq_tot_before.","nonpositive_fraction reaches 0.363 within first hour, stays near 0.35 all day","A5, pre-fix",superseded,W7,hypothesis not established at the time; W7 later shows the true mechanism does not depend on the docstring precondition
ATTRIBUTION_PATH:cause:1,ATTRIBUTION_PATH.md,1.2 The table (cause 1),"Pressure work: under tracer transport the tags move e, the parent moves h_tot=e+p/rho; structural under tracer, removed by enthalpy.","E25: 72,260 of 72,000 J/m2 column growth after 10 min; E31: >=93% on sphere; E34: audit column 2.44e6->2,284 J/m2, sphere 2.82e21->2.54e20 J","E25, E31, E34",live,,
ATTRIBUTION_PATH:cause:2,ATTRIBUTION_PATH.md,1.2 The table (cause 2),"The EDMF eddy diffusion's form mismatch: parent diffuses s_d/h_tot, tags diffuse rho*e_src/rho; removable by C1c but only with an exact implicit channel.",E59 base subcloud ramp slope 2.4-3.0 J/kg/m vs predicted R_d*Gamma 2.5-2.7; C1c options 2/3 cut subcloud part from 1.08e5 to 6.4e3/1.05e4 J/m2 at 1h,"E59 runs, d4_layers.py, c1c_profiles.py",live,,
ATTRIBUTION_PATH:cause:2b,ATTRIBUTION_PATH.md,1.2 The table (cause 2b),"Same q_tot_eff mismatch outside EDMF: vertical diffusion, viscous sponge, EDMF horizontal diffusion, LES closures. Unmeasured on sphere.","0 on columns without them (D1 found vertical diffusion did not make D1's gross, E42b); unmeasured on sphere (C4, V2)",code only; E42b,live,,(inferred) unmeasured magnitude on sphere
ATTRIBUTION_PATH:cause:3a,ATTRIBUTION_PATH.md,1.2 The table (cause 3a),Newton lag of terms the tags follow explicitly while the parent is implicit (the audit's vertical advection).,"E39: 98% of column's first-hour audit residual in first step, converged solve removes 99%; E39b 83% on sphere; E43: C8 audit day 193->12.0 J/m2","E39, E39b, E43",live,E62 (removed by the increment prototype),
ATTRIBUTION_PATH:cause:3b,ATTRIBUTION_PATH.md,1.2 The table (cause 3b),"A stiff implicit parent flux shared at the tendency level (C1c placements) drifts linearly, up to 6.7e6 J/m2 a day under option 1.","E59: every C1c placement grows linearly 5e4-2.9e5 J/m2/hour; option1 errors +41,723/-42,093 J/kg at lowest 2 levels, 24h",E59,live,E62,
ATTRIBUTION_PATH:cause:3c,ATTRIBUTION_PATH.md,1.2 The table (cause 3c),C1b's SGS mass flux and sedimentation shares follow implicit parent fluxes at the Newton iterate without a Jacobian block of their own; not separated on EDMF (D4).,E39: sedimentation lag -7.8 J/m2 at 600s on 1M column without EDMF; D4 base rise 4.61e5->6.32e5 between 12-24h (E59) is a candidate,E39,live,,"(inferred) candidate for D4's late residual rise, not separated"
ATTRIBUTION_PATH:cause:3d,ATTRIBUTION_PATH.md,1.2 The table (cause 3d),"D4's uniform free-troposphere residual, -157 J/kg by 24h, identical to 0.1 J/kg across all four C1c runs; cause not established (probably row 3a acting on c*rho of vertical mass redistribution).","1.2e5 to 1.6e5 J/m2, about 25% of D4's residual; -155 in E53's run",d4_episodes.py,live,,"(inferred) probable cause, untested"
ATTRIBUTION_PATH:cause:4,ATTRIBUTION_PATH.md,1.2 The table (cause 4),"Processes no tag lists (subsidence, the rain-out) -- removed by the label check.","E20 subsidence on column; E28 rain-out on sphere; form A 17,954 J/kg (C5); integral 1.26e-3 (C6)","E20, E28, E38",superseded,E30,
ATTRIBUTION_PATH:cause:4b,ATTRIBUTION_PATH.md,1.2 The table (cause 4b),"c*delta-rho from processes that move mass outside the brackets; under the audit hyperdiffusion carries c (fixed in #72), others do not; removable by C4's sharing.",zero-sum pointwise; zero in column integral,code only,live,,(inferred) unmeasured magnitude
ATTRIBUTION_PATH:cause:5,ATTRIBUTION_PATH.md,1.2 The table (cause 5),The loss clamp and transport clamp on negative tags: about 3% of C7's form-A gap; under the audit a negative source tag freezes at its node (E36).,"E37: ~3% of C7's form-A gap; form A reaches 76.8 J/kg on sphere, integral 4.7e-5","E36, E37",live,,
ATTRIBUTION_PATH:cause:6,ATTRIBUTION_PATH.md,1.2 The table (cause 6),"The repair keeps the partition's sum (e_src_res unchanged, C10 matches C9 to 4 digits) but creates energy for source tags: form A 274 J/kg, integral 6.0e-4.","trades up to +/-30,915 J/kg with 2deg masks, nothing with 10deg masks (E27, E46, E48); C1c option2 moves repair 400x more (E59)",E35,live,,
ATTRIBUTION_PATH:cause:7,ATTRIBUTION_PATH.md,1.2 The table (cause 7),"E<=0: structural without an offset, a risk for cold spells (U8); zero in every run with an offset.","E1: 96.7% column, 43% sphere by volume without offset; E9b: 78% by mass; zero with offset (E11, E17)","E1, E9b, E11, E17",live,,
ATTRIBUTION_PATH:cause:8,ATTRIBUTION_PATH.md,1.2 The table (cause 8),Float32 is partly structural (a rounding floor near 1e-7 of total); the tilt toward overclaiming (E55) is not separated.,"E45: sphere matches Float64 to rounding; E55: D4 keeps size, tilts overclaiming, form A gap cancels less","E45, E55",live,,
ATTRIBUTION_PATH:cause:9,ATTRIBUTION_PATH.md,1.2 The table (cause 9),"Hyperdiffusion's coupling within an element: closure removed exactly under the audit (100 eps) but not positivity, since it is centred and can push a tag below zero (E36).",2.4% of sphere's growth under tracer (E31),"E31, E36, docs energy_source_tags.md:407-410",live,,
ATTRIBUTION_PATH:cause:10,ATTRIBUTION_PATH.md,1.2 The table (cause 10),"Limiters: the per-tag van Leer limiter is 268 of 72,000 J/m2 under tracer (E25); 2e-4 on sphere (E31); it makes C7's form-A gap (E37); none under the audit since shares are linear.","E25: 268/72,000; E31: 2e-4","E25, E31, E37",live,,
ATTRIBUTION_PATH:cause:11,ATTRIBUTION_PATH.md,1.2 The table (cause 11),"Rounding: structural, 1e-16 relative in Float64.",,"E45, E47",live,,
ATTRIBUTION_PATH:d4layer:1,ATTRIBUTION_PATH.md,"1.3 D4, split by layer","D4's residual splits roughly into three layers: subcloud (44%, removable by C1c), cloud/inversion (32%, not separated), free troposphere (25%, uniform -157 J/kg, not separated).","E53 tracer 6.71e5 total (below550m 2.33e5, 550-800m 1.62e5, above800m 2.75e5); E59 base enthalpy 6.33e5 total (2.77e5/2.00e5/1.56e5)","c1c_profiles.py, d4_layers.py",live,,
ATTRIBUTION_PATH:scalar_model:1,ATTRIBUTION_PATH.md,2.2 scalar model of ARS222,"A scalar model of the ARS222 stepper reproduces C1c's placement ordering and location: option 1 drifts most, option 2 filters but still drifts, option 3 exact only if the parent's Newton step is exact, and only following the parent's stage increment is exact for every kappa.","table: dt*lambda=1, kappa=1: option1 0.29, option2 0.069, option3 0; dt*lambda=4: option1 1.17, option2 0.18, option3 0; stage increment 0 for any kappa","toy_imex_gap.py, toy_imex_gap_inexact.py",live,,"a caricature model, not calibrated"
ATTRIBUTION_PATH:offset:1,ATTRIBUTION_PATH.md,3.3 The offset,"A principled rule for the offset exists: c = cp_d*T_0 = 274,388 J/kg gives dry internal energy zero at 0K, guaranteeing E>0 for dry air at any T above the surface; gives ~3.4x longer memory than 110,495, larger undershoots (1.51x per doubling, E19) and less discrimination (R11).","274,388 J/kg vs 110,495 used; memory ~3.4x longer","R1, E19, R11",live,,"a recommendation, not adopted; owner kept 110,495 for continuity"
TRACER_AND_FLUX:agree:1,TRACER_AND_FLUX.md,Where results agree and disagree,Inside the boundary layer the tracer and flux (donor) conventions disagree strongly (sfc share 89.5% at 25m under flux vs 17.5% under tracer mixing at 24h on D4); above the boundary layer they agree to within a few percent (96% strat in both).,"table: sfc flux/tracer at 25m 89.5%/17.5%, at 925m 0.0%/0.0%; strat at 925m 96.2%/95.9%","g1_ref_newton10_d4 (flux), g1_inc_newton10_d4 (tracer)",live,,
TRACER_AND_FLUX:sub:1,TRACER_AND_FLUX.md,sub differs by 18%,"sub (subsidence loss) differs 18% between conventions after a day because the loss rule takes energy from wherever a tag sits, and tag location depends on the mixing convention.",18% at 24h (E66),E66,live,,
UPDRAFT_GAP:size:1,UPDRAFT_GAP.md,Why it is large and yet invisible,"The updraft-gap exchange is a gross mass exchange (~66 kJ/kg on D4, ~83 kJ/kg on V2's sphere) against a net flux of only 1-10 kJ/kg, so the provenance the exchange moves is roughly 10 to 80 times what the net flux moves (an estimate).","66 kJ/kg (D4, with offset), 83 kJ/kg (V2 sphere); net flux 1-10 kJ/kg; ratio ~10-80x","estimate, not measured directly",live,,estimate; refined/corrected by the updraft_gap_bound review (W1-M6 in agent_reviews/updraft_gap_bound/review.md)
E76,FINDINGS.md,9. Mixing,The exchange's agreement with the copies holds at 24 h across dt and Newton count; the first hour does not converge,"sfc 1h 14.3/19.4/21.3/15.5/14.7%; sfc 24h 0.64/0.53/1.36/0.88/6.5%; strat 24h 0.91/1.25/1.09/1.13/0.22%; every tag <=1.6% L1, 2.6% Linf at 24h; sub 1.54%, sfc 2.51%; region first hour 1.89->0.13%, 1.73->0.12%","jobs 13782601-13782605 (dcf7d086), 13768363-13768369 (dbe7435c); output/v3_upd_*; commit 8726d2cb, eec7f363",live,,
