item_id,doc,section,one_line_summary,status,milestone,target
G3-WP4b-3,G3_TODO.md,WP4b: rain and snow carry their own tags,"Stage 2: EDMF, default mode.",open,M5,G3
G3-WP4b-4,G3_TODO.md,WP4b: rain and snow carry their own tags,Stage 3: copies of the rain and snow parts.,open,M5,G3
G3-WP4b-5,G3_TODO.md,WP4b: rain and snow carry their own tags,"The audit script: gross 1M process rates recomputed offline for a column, compared with the net-flow attribution.",open,M5,G3
G3-WP4b-6,G3_TODO.md,WP4b: rain and snow carry their own tags,"WP4c, beside it: the leak corrections that plan 4.2's rule selects, for runs without rain/snow tags.",open,M5,G3
G3-WP4b-7,G3_TODO.md,WP4b: rain and snow carry their own tags,Review (xhigh) of each stage.,open,M5,G3
G3-WP4b-8,G3_TODO.md,WP4b: rain and snow carry their own tags,V-W5: the 0M split on/off; rain and snow tags on/off on a 1M column without EDMF and on D4-W in both modes; the audit; sum(pr_tag)=pr.,open,M5,G3
G3-QUAL-VW6,G3_TODO.md,Qualification runs,"V-W6, held out, default and copies each: RICO 1M, BOMEX (bomex_column with the passive tracer), ARM SGP 1M, GCM-driven 0M column.",open,M3/M5,G3
G3-QUAL-redteam,G3_TODO.md,Qualification runs,"Red team before the default is confirmed (clima-numerics-reviewer, xhigh).",open,M3/M5,G3
G3-QUAL-VW7,G3_TODO.md,Qualification runs,"V-W7, the Float32 twin of D4-W.",open,M3/M5,G3
G3-QUAL-VW8,G3_TODO.md,Qualification runs,"V-W8, the file-based column with water and energy tags, 3h.",open,M3/M5,G3
G3-QUAL-VW9,G3_TODO.md,Qualification runs,"V-W9, restart round trips: D4-W in both modes, and with rain and snow tags.",open,M3/M5,G3
G3-WP6-1,G3_TODO.md,"WP6: gross accumulators, both families","A design note, then code: absolute repair/fix throughput with event counts, per-step |m_left|, positive/negative loss for tau, attempted vs retained, restart segments. Tests: alternating signs, invariance under output interval, restart stitching, model fields unchanged. Review (high).",open,M2,G3
G3-WP289-1,G3_TODO.md,"WP2, WP8, WP9: consolidation, docs, cost","WP2: move only the identical helpers into shared code, with a CI test running old and new side by side, bit for bit; the energy reference is a merged-main run with decision 5.",open,M4/M2/M1,G3
G3-WP289-2,G3_TODO.md,"WP2, WP8, WP9: consolidation, docs, cost","WP8: docs -- tagged_water.md gets the EDMF section, precipitation, and the corrected diffusion-operators claim; also a claim contract for tagged water, known_issues.md and NEWS. Review (high).",open,M4/M2/M1,G3
G3-WP289-3,G3_TODO.md,"WP2, WP8, WP9: consolidation, docs, cost","WP9 and V-W10: cost at 2/4/8/32 tags where they build in time, both modes, with/without rain and snow tags, both families; P2 and P3 only if the profile shows them.",open,M4/M2/M1,G3
G3-sphere-1,G3_TODO.md,The sphere,"The sphere budget, set by the owner.",open,sphere,G3
G3-sphere-2,G3_TODO.md,The sphere,V-W11: ten days of g2_v2_sphere_n2 with water/rain/snow tags under the chosen default; a one-day copies twin; a restart after day 1; a two-rank parity pair.,open,sphere,G3
G3-sphere-3,G3_TODO.md,The sphere,"G3's closing entry, and the question of what comes next.",open,sphere,G3
G4.1,G3_TODO.md,"G4: the energy source tags, after G3","#95's follow-ups: D1 with D3 closes when #95 merges; U5, a clear error when the tag list changes across a restart.",open,M2-M5/sphere/M8,G4
G4.2,G3_TODO.md,"G4: the energy source tags, after G3","The early-warning probe, looking back (synergy 1): does increment_left flag V2's one-iteration collapse against the two-iteration run?",open,M2-M5/sphere/M8,G4
G4.3,G3_TODO.md,"G4: the energy source tags, after G3","Claim contracts for energy source tags, process records and the parent-budget ledger.",open,M2-M5/sphere/M8,G4
G4.4,G3_TODO.md,"G4: the energy source tags, after G3","The residual report: rate and settling forecast (synergy 4), vertical/local maxima, headroom (U9), overlay bounds (A5).",open,M2-M5/sphere/M8,G4
G4.5,G3_TODO.md,"G4: the energy source tags, after G3","Warnings, abort rules and acceptance kept apart, for both families' closure checks; U2's calibration.",open,M2-M5/sphere/M8,G4
G4.6,G3_TODO.md,"G4: the energy source tags, after G3","The D4 process budget with every record and the ledger (synergy 6, C4's c*delta-rho, repair never a parent source); the offline EDMF column budget.",open,M2-M5/sphere/M8,G4
G4.7,G3_TODO.md,"G4: the energy source tags, after G3",The energy reference suite: the R2 ladder redone at #95's merged head; 60/120 levels and Newton 4/10; a Float64 twin; the cold precipitating column; a forced column without EDMF.,open,M2-M5/sphere/M8,G4
G4.8,G3_TODO.md,"G4: the energy source tags, after G3","A surface pulse, and convection switched on/off, for energy.",open,M2-M5/sphere/M8,G4
G4.9,G3_TODO.md,"G4: the energy source tags, after G3",Alternative placements of the increment correction on a shared parent.,open,M2-M5/sphere/M8,G4
G4.10,G3_TODO.md,"G4: the energy source tags, after G3","The offset sweep (U8), and a check for leaving the tested regime.",open,M2-M5/sphere/M8,G4
G4.11,G3_TODO.md,"G4: the energy source tags, after G3",Carried over from G3: the plume rescale to A^j; one surface rule; the per-subdomain split for precipitation energy and EDMF's sedimentation corrections; compartments for the energy falling water carries.,open,M2-M5/sphere/M8,G4
G4.12,G3_TODO.md,"G4: the energy source tags, after G3","Held-out columns for energy, a red team, and the owner's choice of the energy default.",open,M2-M5/sphere/M8,G4
G4.13,G3_TODO.md,"G4: the energy source tags, after G3","Ten days of the energy sphere at the chosen default, against E75.",open,M2-M5/sphere/M8,G4
G4.14,G3_TODO.md,"G4: the energy source tags, after G3","A memory number for every run (synergy 5), after WP6.",open,M2-M5/sphere/M8,G4
LT-1,LEVANTE_TASKS.md,"Not yet, and why","c0_sphere_deep, dropped 2026-09-10: written as a depth control; where_negative.jl and c0_sphere_audit already answer its two purposes; config stays in the tree if wanted.",shelved,outside,archive
LT-2,LEVANTE_TASKS.md,"Not yet, and why",Phase B: no technical objection left after the #64 fix; whether it is worth running was the owner's call.,done,outside,"archive (B1 ran, E50; B1a-c/B2/B3 not approved)"
LT-3,LEVANTE_TASKS.md,"Not yet, and why",C2 needs a code change and the owner's approval; no configuration written (as of 2026-09-10).,done,outside,archive (C2 built as #92)
LT-4,LEVANTE_TASKS.md,0. Checked 2026-09-10,"Whether to lengthen test/tagged_water_integration.jl past A5's onset: the fix strengthened the test instead of lengthening it; coverage gap narrowed, not closed (open item, also in README.md).",open,outside,BACKLOG
NS-1,NEXT_SESSION.md,Rules of engagement,docs/src/ tag_closure_memo.md and tag_closure_experiments.md: while PR #63 was open the owner asked for each change there; keep asking (superseded 2026-09-23 by decision to mark them historical and archive later).,superseded,outside,archive
NS-2,NEXT_SESSION.md,How this series writes things down,"Documentation conventions (load-bearing): cite the run, state the bound with the claim, never cite an unverified script, record falsified claims, recompute before repeating. Carried forward into FINDINGS.md and AGENTS.md self-correction norms.",done,outside,FINDINGS.md / AGENTS.md conventions
